family,params,seed,n,m,solver_type,preprocessing_enabled,propagation_enabled,lower_bound_type,optimal_cover_size,runtime_seconds,nodes_explored,nodes_pruned,max_depth,forced_assignments,preprocessing_reductions,vertices_removed_by_preprocessing,root_lower_bound,finished
erdos_renyi,"n=10, p=0.2",42,10,11,baseline,False,False,trivial,5,0.000868,251,121,10,0,0,0,0,True
erdos_renyi,"n=10, p=0.2",42,10,11,improved,True,True,maximal_matching,5,7.4e-05,3,1,1,4,11,7,4,True
erdos_renyi,"n=10, p=0.2",123,10,11,baseline,False,False,trivial,4,0.00034,93,41,10,0,0,0,0,True
erdos_renyi,"n=10, p=0.2",123,10,11,improved,True,True,maximal_matching,4,2.2e-05,1,0,0,0,10,6,4,True
erdos_renyi,"n=10, p=0.2",256,10,9,baseline,False,False,trivial,4,0.001282,405,197,10,0,0,0,0,True
erdos_renyi,"n=10, p=0.2",256,10,9,improved,True,True,maximal_matching,4,1.6e-05,1,0,0,0,10,6,4,True
erdos_renyi,"n=10, p=0.2",789,10,5,baseline,False,False,trivial,3,0.000878,281,134,10,0,0,0,0,True
erdos_renyi,"n=10, p=0.2",789,10,5,improved,True,True,maximal_matching,3,2.2e-05,1,0,0,0,10,7,3,True
erdos_renyi,"n=10, p=0.2",1024,10,10,baseline,False,False,trivial,5,0.001462,409,200,10,0,0,0,0,True
erdos_renyi,"n=10, p=0.2",1024,10,10,improved,True,True,maximal_matching,5,2e-05,1,0,0,0,10,5,5,True
erdos_renyi,"n=10, p=0.3",42,10,17,baseline,False,False,trivial,6,0.000934,239,116,10,0,0,0,0,True
erdos_renyi,"n=10, p=0.3",42,10,17,improved,True,True,maximal_matching,6,9.3e-05,5,2,2,8,11,6,4,True
erdos_renyi,"n=10, p=0.3",123,10,14,baseline,False,False,trivial,5,0.000426,119,55,10,0,0,0,0,True
erdos_renyi,"n=10, p=0.3",123,10,14,improved,True,True,maximal_matching,5,4.4e-05,3,1,1,2,9,5,4,True
erdos_renyi,"n=10, p=0.3",256,10,13,baseline,False,False,trivial,5,0.000945,279,135,10,0,0,0,0,True
erdos_renyi,"n=10, p=0.3",256,10,13,improved,True,True,maximal_matching,5,2.4e-05,1,0,0,0,10,5,5,True
erdos_renyi,"n=10, p=0.3",789,10,9,baseline,False,False,trivial,4,0.000909,301,145,10,0,0,0,0,True
erdos_renyi,"n=10, p=0.3",789,10,9,improved,True,True,maximal_matching,4,1.8e-05,1,0,0,0,10,6,4,True
erdos_renyi,"n=10, p=0.3",1024,10,11,baseline,False,False,trivial,5,0.001299,415,203,10,0,0,0,0,True
