family,params,seed,n,m,solver_type,preprocessing_enabled,propagation_enabled,lower_bound_type,optimal_cover_size,runtime_seconds,nodes_explored,nodes_pruned,max_depth,forced_assignments,preprocessing_reductions,vertices_removed_by_preprocessing,root_lower_bound,finished,threshold_trajectory
erdos_renyi,"n=10, p=0.2",42,10,11,baseline,False,False,trivial,5,0.00087,251,121,10,0,0,0,0,True,[]
erdos_renyi,"n=10, p=0.2",42,10,11,improved,True,True,maximal_matching,5,7.4e-05,3,1,1,4,11,7,4,True,[]
erdos_renyi,"n=10, p=0.2",42,10,11,raw_emulation,False,False,trivial,5,0.01396,398,0,0,0,0,0,0,True,"[(8, 1.0, 9), (16, 2.0, 24), (32, 2.0, 24), (64, 4.0, 90), (128, 4.0, 90), (128, 5.0, 161)]"
erdos_renyi,"n=10, p=0.2",42,10,11,ablation_prep,True,True,trivial,5,0.000826,12,0,0,0,0,0,0,True,"[(2, 8.0, 3), (2, 12.0, 3), (2, 14.0, 3), (2, 15.0, 3)]"
erdos_renyi,"n=10, p=0.2",42,10,11,ablation_prep_lb,True,True,maximal_matching,5,0.0008,14,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 8.0, 3), (2, 12.0, 3), (2, 14.0, 3), (2, 15.0, 3)]"
erdos_renyi,"n=10, p=0.2",42,10,11,enhanced_emulation,True,True,maximal_matching,5,0.000829,14,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 8.0, 3), (2, 12.0, 3), (2, 14.0, 3), (2, 15.0, 3)]"
erdos_renyi,"n=10, p=0.2",123,10,11,baseline,False,False,trivial,4,0.000333,93,41,10,0,0,0,0,True,[]
erdos_renyi,"n=10, p=0.2",123,10,11,improved,True,True,maximal_matching,4,2.2e-05,1,0,0,0,10,6,4,True,[]
erdos_renyi,"n=10, p=0.2",123,10,11,raw_emulation,False,False,trivial,4,0.006185,123,0,0,0,0,0,0,True,"[(4, 1.0, 5), (8, 2.0, 11), (16, 2.0, 11), (32, 2.0, 11), (32, 3.0, 25), (64, 4.0, 60)]"
erdos_renyi,"n=10, p=0.2",123,10,11,ablation_prep,True,True,trivial,4,0.000239,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
erdos_renyi,"n=10, p=0.2",123,10,11,ablation_prep_lb,True,True,maximal_matching,4,0.000228,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
erdos_renyi,"n=10, p=0.2",123,10,11,enhanced_emulation,True,True,maximal_matching,4,0.000219,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
erdos_renyi,"n=10, p=0.2",256,10,9,baseline,False,False,trivial,4,0.001293,405,197,10,0,0,0,0,True,[]
